key;value
15;1
15;1
15;1
30;1
30;1
35;1
35;1
60;1
60;1
80;1
80;1
100;1
100;1
100;1
110;1
110;1
165;1
165;1
170;1
170;1
175;1
175;1
180;1
180;1
185;1
185;1
190;1
190;1
190;1
195;1
195;1
220;1
220;1
225;1
225;1
255;1
255;1
255;1
260;1
260;1
265;1
265;1
265;1
270;1
270;1
280;1
280;1
300;1
300;1
325;1
325;1
330;1
330;1
335;0
340;0
340;0
340;0
345;1
350;1
355;0
355;0
360;0
360;0
365;0
370;1
370;1
375;0
380;1
380;1
390;0
400;0
400;0
400;0
405;0
410;0
415;0
415;0
420;0
425;0
430;0
435;1
435;1
450;1
450;1
455;0
460;0
460;0
465;0
470;1
475;0
485;1
490;1
490;1
495;1
495;1
495;1
500;0
505;0
510;0
510;0
515;0
515;0
520;0
525;0
530;1
530;1
535;1
535;1
540;0
545;0
545;0
550;0
555;0
560;1
560;1
560;1
565;1
575;0
575;0
580;0
585;1
590;1
590;1
595;0
600;1
625;1
625;1
625;1
630;0
630;0
630;0
640;0
640;0
640;0
645;0
645;0
645;0
660;1
680;0
685;1
735;0
740;0
745;0
750;1
755;0
755;0
760;0
765;0
765;0
785;0
795;1
810;0
810;0
810;0
845;0
870;0
870;0
895;0
900;1
935;1
935;1
940;0
955;0
955;0
965;0
965;0
970;0
975;0
1030;0
1030;0
1035;0
1045;1
1050;0
1070;0
1100;1
1100;1
1105;0
1105;0
1105;0
1145;0
1145;0
1185;0
1185;0
1190;0
1210;1
1210;1
1265;0
1275;0
1295;0
1300;0
1305;1
