ID	SENTIMENT	TEXT
20020128_20.43.50-5456-2	neutral	At the end of a brilliantly waged and very carefully framed war, punctuated by briefings that had brought Donald Rumsfeld, the Defense Secretary, a veritable media triumph, there was this one image too many.
temp_fbis_20.53.10-15177-29	positive	He confirmed that 30 Palestinians were martyred at the hands of settlers, 60 persons were hit by settlers' bullets, while more than 77 others were injured in various assaults by settlers.
20020223_20.53.55-17301-20	neutral	This will have a certain impact on the US Government's readjustment and implementation of policies toward China in the future.
20020202_20.37.52-21155-9	negative	In his conversation with Secretary of State Colin Powell, the Brazilian Foreign Minister stated clearly that to leave Argentina to its own fate, as seems to be the George Bush administration's choice, is to pave the way for social rebellion there, which will contaminate other countries on the continent and create another area of political instability on the planet.
20020221_21.03.19-22060-5	neutral	Taiwan's foreign ministry has set up an ad hoc group to monitor the trip around-the-clock and report to President Chen Shui-bian.
20020113_03.19.43-8352-3	neutral	The Guantanamo Bay has been in U.S. hands since the Spanish- American War in 1898.
non_fbis_08.39.09-12713-15	negative	Even as voters went to the polls over the weekend, the  intimidation and attempts at rigging continued.
20020217_20.42.51-22299-3	neutral	The Japanese southern island hosts 25,000 of the 51,000 US troops stationed in Japan.
temp_fbis_20.42.47-22260-17	negative	In reference to the Sept. 11 terrorist attacks on New York and Washington last year, the letter said, "Don't push the Japanese government or any other government to cooperate in your 'war against terrorism'."
20020314_20.23.54-19638-47	positive	In a forum of European political parties, held in Belgium, participants appealed to all progressive political parties of the world to defend Korea's socialism.
20020129_20.27.21-24397-5	neutral	Those laws affect almost everything in the country, from petroleum to land ownership.
20020318_20.48.00-11907-2	neutral	Chief Justice Godfrey Chidyausiku presided over the swearing-in ceremony, which was witnessed by leaders of some other African countries, including Malawian President Bakili Muluzi, Namibian President Sam Nujoma, Democratic Republic of the Congo President Joseph Kabila, Mozambican President Joaquim Chissano, Tanzanian President Benjamin Mukapa, South African Vice-President Jacob Zuma, Zambian Vice-President Enock Kavendele.
20011125_21.01.04-6923-10	negative	Hours after the vanguard entered from the west, a tank column halted its advance from the east, fearing hostile fire.
non_fbis_08.01.38-4843-35	negative	That  allowed investors to make reckless bets on the assumption that  lending agencies would rescue them when things went wrong.
20020318_20.33.16-3417-12	neutral	People do not believe whatever the America says," he concluded.
20020125_20.19.13-15223-3	positive	"Thus, the Supreme Council calls on the Foreign Ministry to send a memo to the United States government," he said at a press conference after chairing the meeting at the Umno headquarters, here.
