Corpus;TextID;Length;Words;Expected Sentiment;AlchemyApi;Lymbix;MLAnalyzer;Repustate;Semantria;Sentigem;Skytle;Textalytics;Textprocessing
1;2501843;70;9;OTHER;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;176030;48;8;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;1250942;60;10;OTHER;OTHER;OTHER;POSITIVE;POSITIVE;OTHER;OTHER;OTHER;OTHER;NEGATIVE
1;1250940;60;10;OTHER;OTHER;OTHER;POSITIVE;POSITIVE;OTHER;OTHER;OTHER;OTHER;NEGATIVE
1;745570;20;2;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;1025529;149;26;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;OTHER;POSITIVE
1;1025533;132;25;OTHER;POSITIVE;OTHER;POSITIVE;POSITIVE;OTHER;POSITIVE;POSITIVE;OTHER;POSITIVE
1;625450;127;21;OTHER;POSITIVE;OTHER;POSITIVE;POSITIVE;OTHER;POSITIVE;OTHER;OTHER;OTHER
1;17631;91;13;OTHER;NEGATIVE;OTHER;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;OTHER;NEGATIVE
1;1959023;135;21;OTHER;POSITIVE;OTHER;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;OTHER
1;2342570;148;25;NEGATIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;NEGATIVE;OTHER;NEGATIVE
1;840705;124;15;POSITIVE;POSITIVE;OTHER;OTHER;POSITIVE;POSITIVE;POSITIVE;POSITIVE;OTHER;OTHER
1;902914;105;14;OTHER;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;902915;100;14;OTHER;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;1126486;78;13;OTHER;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
1;1009894;49;8;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
1;719548;106;17;OTHER;null;POSITIVE;OTHER;OTHER;OTHER;POSITIVE;OTHER;OTHER;POSITIVE
1;903023;53;8;OTHER;OTHER;POSITIVE;POSITIVE;POSITIVE;OTHER;NEGATIVE;OTHER;OTHER;POSITIVE
1;1724536;143;27;POSITIVE;POSITIVE;OTHER;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;OTHER;NEGATIVE
1;885635;149;26;NEGATIVE;POSITIVE;OTHER;OTHER;POSITIVE;OTHER;POSITIVE;OTHER;OTHER;OTHER
1;2115255;134;18;OTHER;OTHER;OTHER;NEGATIVE;NEGATIVE;OTHER;OTHER;OTHER;OTHER;NEGATIVE
1;1460488;72;10;OTHER;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;2479332;63;10;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;NEGATIVE
1;1180949;108;17;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;OTHER;NEGATIVE;NEGATIVE;NEGATIVE;OTHER;NEGATIVE
1;2132748;37;5;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;3171618;152;24;OTHER;POSITIVE;OTHER;POSITIVE;OTHER;OTHER;POSITIVE;OTHER;OTHER;OTHER
1;334684;134;22;OTHER;POSITIVE;OTHER;NEGATIVE;OTHER;OTHER;NEGATIVE;OTHER;OTHER;OTHER
1;2357970;33;2;NEGATIVE;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;NEGATIVE
1;1530603;51;10;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
1;405064;93;15;OTHER;OTHER;OTHER;NEGATIVE;OTHER;NEGATIVE;OTHER;NEGATIVE;OTHER;POSITIVE
1;3542822;83;13;OTHER;POSITIVE;OTHER;POSITIVE;POSITIVE;OTHER;OTHER;OTHER;OTHER;POSITIVE
1;903102;71;8;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;2307999;130;21;OTHER;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;17513;138;21;OTHER;POSITIVE;OTHER;POSITIVE;POSITIVE;OTHER;POSITIVE;OTHER;OTHER;NEGATIVE
1;949002;147;22;NEGATIVE;NEGATIVE;OTHER;NEGATIVE;NEGATIVE;OTHER;NEGATIVE;NEGATIVE;OTHER;NEGATIVE
1;1408211;56;7;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;264314;75;12;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;null;OTHER
1;1786811;95;39;OTHER;NEGATIVE;POSITIVE;OTHER;NEGATIVE;POSITIVE;POSITIVE;OTHER;OTHER;POSITIVE
1;2739539;61;8;OTHER;OTHER;OTHER;OTHER;OTHER;NEGATIVE;OTHER;OTHER;OTHER;NEGATIVE
1;35111;109;13;OTHER;OTHER;OTHER;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;OTHER;OTHER;POSITIVE
1;1585770;68;10;OTHER;POSITIVE;POSITIVE;POSITIVE;OTHER;OTHER;POSITIVE;OTHER;POSITIVE;OTHER
1;87929;105;18;NEGATIVE;NEGATIVE;OTHER;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;OTHER;OTHER
