ID	SENTIMENT	TEXT
1534646	neutral	Taking a Gamble When Trading ~http  
905147	neutral	Gorgeous glass of prosseco   @ Hilton ~http  
1080020	negative	Still in pain! =( Ughhh all I want is some oreo ice cream and my babe! 
923984	neutral	hittin HT with michael for the first time since june; Gonna break in my new Nike Hyperfuse 2011's. #jimmer #ballinuntilwefallin 
1654045	neutral	Which u perfer...jimmy choo? Or gucci stiletto? 
2774204	neutral	Apple's iCloud is Powered by Microsoft Windows Azure - who'd have thought? ~http  #cloud 
1911712	neutral	Its only real if it gets you. 
2758146	neutral	What agencies provide assistance in creating an in-house CRM system? ~http  
79739	negative	Depression!!!! Slipping further & further away!...Aggghhhhhhhhh!!!!!! 
1248015	neutral	Quiz: " it is well know throughout the Midwest that the old man is a turkey junkie. ...A bona fide golly turkicanis freak" Name the movie! 
132108	negative	In one single day; Nike decided to lift our spirits and crush them. Why? I'd rather just see a pic in passing rather than all this bullshit. 
527685	negative	Haha even my twitter thinks ur gay tay 
2429967	neutral	#realtalk Lil b is just the parody of gucci mane 
2321320	neutral	What the new Nintendo 3DS looks like in 3D ~http  
89703	neutral	Launched: Radius Targeting for Bing and Yahoo! Search ~http  via @user 
1313497	neutral	SRRY BING I STILL GOOGLE 
2306129	positive	congratulations to Hugo Mason for winning the signed Manuel Almunia Nike Gloves. 
3265543	neutral	The Samsung Galaxy S II captures this talented young soccer star celebrating in style!  - ~http  
1692972	neutral	Photo: daisyxbells: ~http  
2078474	neutral	#leadbiz #leadchange Communicating Cooperatively In The Workplace Help Card Product Information: Some people call it... ~http  
2851694	neutral	There's a DJ at the Oxford Circus Nike shop. I'm falling for its "buy stuff with a swoosh on it" scam. Damn it. 
770555	neutral	hm im ready for promo where the links at? 
106376	neutral	Check this video out -- YOUNG BUCK FEAT. LIL HYPE - IM GUCCI ~http  via @user 
2255176	negative	Ugh.! Broo; comb your fuckin hair.! Youre a girl.!! 
483162	neutral	Cloud Computing – Microsoft Windows with Azure - Workshop Curriculum (Chandigarh) ~http  
932105	neutral	Apple asks Japan court to ban sale of Samsung phones (TUAW): Share With Friends:  |  | Technology - Comput... ~http  
157442	neutral	If you think you can compete in this new and competitive world of gaming visit our site at mstournaments.com to get the full scoop 
681282	positive	Here's a great look into @user's "Music in Print" photo exhibit; ft. shots from the last decade of Bluesfest! ~http  
346121	neutral	Two days to go! Mirrors; Anna Calvi; Laura J Martin; Young Athletes League; Hind Ear all playing in London Fields... ~http  
1430422	negative	“@hankito: @user paris hilton thinking shes a house dj I blame you” +11111 I'm starting to feel sick to my stomach if this is true 
81024	neutral	Nintento cuts price of Wii for first time: Nintendo announced the first price cut for its Wii games console foll.. ~http 
55087	neutral	For all your home improvement needs visit Bayers Do it Best Hardware. ~http  
1029028	neutral	中 孝介  [絆](Live @ Sony Music Studio) ~http  
1833598	neutral	#paralove! #shoutout @user &lt;---- follow away! 
548053	neutral	Why Americans hate their jobs - The Week ~http  Do you agree or disagree? 
3238037	neutral	Celine Luggage Tote or Gucci Heritage Boston via Shopping and Info - Does this bag look vaguely familiar to ... ~http  
728870	positive	12 yrs worth the wait... Cried like a baby... Better than the 1st and 2nd.. Toy Story 3 officially my favorite 
178072	neutral	I won't tell your secrets 
637489	neutral	I'm slucc hungry..finna make a sandwich 
978577	neutral	9.4-inch Sony Tablet S available for pre-order; matches iPad 2 pricing ~http 
2174423	neutral	'Lest We Forget' #stencil #graffiti Addison Rd; Marrickville NSW #streetart ~http  
287807	neutral	Post Edited: What is Microsoft Office 365? ~http  
1227016	positive	love my puma socks;Addidas sweatpants; and nike shoes 
902766	neutral	Laptop SONY vaio js270j/q 20.1" all-in-one desktop intel core 2 duo Price: $339 USD Online Order: ~http  
1693939	neutral	All kinds of meats and poultry. #goldencoral 
3496496	neutral	Ironically; I even tried to Google Bing to try to get  @user fix 
1204809	neutral	New post: Nike ID Studio | Vogue Fashions Night Out 2011 Lisbon ~http  
3542212	neutral	Can anyone plz help me find a cardigan like this one it doesn't have to be nike but something simmelar to this. ~http  
1812057	neutral	$49.99 Samsung phone 1st month free; unlimited service 344-8910 
976878	negative	Ugh. That's why i don't talk. ISOLATION HERE I COME AGAIN 
2688595	negative	great look when you have soaking hair yer make up all down your face and soaking clothes!! hate getting caught in the rain:( 
1308406	neutral	Today feel like Friday 
2597495	neutral	S&P cuts rating on Japan's sovereign debt; yen weakens but impact on debt mitigated by high domestic ownership ~http  
2352169	neutral	“@SHGames: RT and follow us for a chance to win #CoDXP tickets.  We now have 10 left to give away starting now! - #shgames #MW3” 
1411100	neutral	"N900 tips & tricks: Tether with your Mac through an AT&T SIM card" - ~http  
1871478	negative	Sick of street racers trying to race me (again tonight). I don't race even if m  car/me may fit tie stereotype. It happens a lot... 
2989584	neutral	Chance to win a Samsung 46" 3D Smart TV ~http  
328373	neutral	What is your nicest song you know? #LMC 
645200	negative	Second set of Sony earbuds just died. Lasted 6 months just like the first set. Has 90 day warranty. DONT BUY. 
566770	neutral	Can someone send me the link to update android 2.2 nd hw to bckup data?this is fr samsung galaxy s 
2446611	neutral	Color guard preparing for @user ceremony welcoming President Calderon of #Mexico! #nlmwh #latism #p2 ~http  
1786811	neutral	"How to Spend Less and Have a Great Time                            In Dubai?" ~http  
270122	neutral	Chris Brown Fan: "Keeping Rolex Didn't Cross My Mind": The fan who handed in Chris Brown's $22k Rolex which he l... ~http  
2487722	neutral	Increase #Sales 5;500% Overnight! ~http  #launchboxpro #marketing #onlinebusinessbuilding #pricing 
659015	neutral	LOOOOL !!!! Cat Yawning - Parry Gripp ~http  
870692	neutral	I NEED BEACH 
542665	neutral	We say we don't want to be " that person" then don't be it then #time4chAnge 
555514	neutral	My word im getting intoxicated quickly 
1372408	neutral	Bro I'm gonna buy me a nike head band #swag. 
2387470	neutral	"Our intention creates our reality." - Wayne Dyer 
3545678	positive	Omg the gucci advert with james franco was just on....hot 
1469818	negative	This live action fairly oddparents grown up shit with Drake Bell is a big HELL TO THE NO. Nickelodeon dun goofd tbqf. 
2306845	positive	Yessir!!!!!!! I need an Audi S4!!!!!!!!!!! #Machine 
902907	neutral	Laptop SONY vaio js270j/q 20.1" all-in-one desktop intel core 2 duo Price: $339 USD Online Order: ~http  
104807	negative	But I don't LOVE HER.... (( Gucci voice )) 
252266	neutral	I think it's ironic. 
1259495	neutral	we got the new Nike Air Maxim 1+ Trainer ND ~http  
2095044	neutral	My mom is hopelessly in love with Jaykob #mylife 
584567	neutral	#phx BizFair'09 | Nov 19th; Hilton Scottsdale | Exhibitors - promote your company to 100s of valley entrepreneurs! ~http  
2674948	negative	“@alihartzell: being sick in the summer sucks!! :((”. :(((((!!!! 
1087114	neutral	I never knew waves glowed at night 
2587342	neutral	HEY WITCH DOCTOR; GIVE US THE MAGIC WORDS:  OO EE OO AAH AAH TING TANG WALLA WALLA BING BANG. 
2780762	neutral	New blog post on ~http  - Nike have got some helpful new apps 
830580	neutral	Sony Vaio Grs700 Ac Adapter 0mAh (Replacement): Sony Vaio Grs700 Ac Adapter (Replacement). Volts: 16-19V; Watts... ~http  
3276329	neutral	Win a Sony VAIO laptop contest. You can enter by following @user and retweet. ~http  
360502	negative	Damn it.  Too hard a push into the corner.  #kbshow 
3225503	positive	On way to Sony Liverpool; with Brighton last week and Scotland this; it feels like I've not been there for ages! Looking forward to it! 
413399	positive	Boomer is our DachStar of the Week! Check this little cutie out; Arroooo! ~http  
1450896	neutral	Headed over to #IIDA Career Bootcamp on the 14th floor of the Holiday Inn Mart Plaza at #NeoCon11. Hope to see you at 11:30am with @user 
2683763	negative	Still stuck on ol boy from that liquor store in Kentucky... who would run in with arms outstretched and yell "DADDIES HOME!!"?  He is losin 
2819866	positive	Okay; Bruce & Kris renewing their vows was so sweet. And how he surprised her with that HUGE ring!!! #Kardashians 
447987	neutral	W. Out Dha Meat Tho 
3017222	neutral	& i'm a Nike nigga so you know icheck to it √ 
2490396	neutral	THIS IS IT -  the Toplook from -~http  -- Mr. Melk. Skapelsen ~http  via @user FAntastic?? 
1679556	neutral	If you've found this page it's probably from the link from my personal account! I'll be using this account for all things music related now. 
2111202	neutral	Even more designs made....  Audi A8 (11-  ) Head & Tail Audi A7 (12-  ) Head & Tail        Audi Q7 (09-  ) Head;... ~http  
2322931	neutral	Breaking down Microsoft and Yahoo's search deal - CNET News: ~http  
633278	neutral	Flying out?  2 t-shirts for £20; including Nike; Adidas and Puma; at JD Sports; after security in the departure lounge; lower level. 
629180	neutral	Microsoft and NSF getting together to provide cloud computing resources to scientists; using Microsoft Azure-could be cool ~http  
1456240	neutral	For you gamers not @ #blogher11! Tweet #UbiAtHome to win a Nintendo DSI & Imagine gift pack from @user. One more winner! 
1691605	positive	I am the proud new owner of the Samsung Impression! 
2677682	positive	A music video that will take your breath away: ~http  #visuallyastounding 
2415474	neutral	Come to "LaTHoL Show in Paris" Thursday; October 21 from 9:00 pm to 2:00 am. ~http  ~http  
306463	negative	Oh that Gucci bag is real? #yeahright 
2376658	neutral	Roger Adams FundÂ» Blog Archive Â» Microsoft windows VPS Â The ... ~http  
157341	neutral	Black Hat: Microsoft More Secure Than Mac ~http 
486109	positive	No matter where life takes me find me with a smile. 
3126653	neutral	Sony vs GeoHot – once again: According to GamesIndustry; Sony has now permission to subpoena… ~http  
2647933	neutral	Brand NEW Nike Mojo Golf Balls! Only 2.99 per sleeve!  ~http  
89668	neutral	Just Published: New Microsoft Advertising UK Team ‘DM5’ Launches Today ~http 
756581	neutral	UAE attracted over $75bn in FDI ~http  
894605	neutral	:O Rightnow Technologies Q1 2010 Earnings Call Transcript ~http  sony free realms 
288302	neutral	Enter this month's sweepstakes for a chance to win a copy of ~http  or Microsoft Office 2010. All you have to do... ~http  
2324413	neutral	Now Checkin My DM!!! 
3045060	neutral	Fresh on nike shoes: Be reminded 
1803271	positive	last two evenings on competition of young opera's singers in The Theatre of Opera and Ballet were amazing. 
866043	positive	Lol my roommate just made me help her with her radio commercial... it came out pretty good! :) 
165560	neutral	#liodph Let the expert from IDC show you the things to expect in 2011 and how to use these information to keep your business at the top. 
2986132	neutral	Samsung Blu-Ray Remote Control AK59-00070A for BDP1000; BDP1200; BDP1400:   Samsung Blu-Ray Remote Control AK59... ~http  
746571	positive	So excited its hard to work! 
1961414	positive	Long day today. 6 hours of sleep. I'm so ready for this. :D 
1370830	neutral	Greenpeace new campaign: Nike vs Adidas... Nice video but does it really serve the purpose well ?  I mean; do you... ~http  
2671943	neutral	Photo:  ~http  
1691776	positive	Sunday is my favorite day of the week :-) 
2256808	neutral	im still that nigga that you use to even though i aint that nigga that you use to 
1017503	positive	Last night I got to meet the very funny and talented @user after 'Comedy Congress'. Thanks again Aisha! ~http 
2139757	positive	'Imma be rockin d gud life' 
1545844	neutral	So ill put yall up on some hot tracks ; dance for you beyonce; body work the-dream ; mvp gucci mane ; I gotta chick r.Kelly all go hard 
3252138	neutral	Free Audi A1 iPhone Game App Launched music game ;P ~http  
2295149	neutral	Certify Dumps 70-685 study materials simulate real exam environment. Microsoft 70-685 test questions ~http  
2226010	neutral	They made @user sit in the vack in gurens class haha 
686496	positive	Bitch we need to do a shoot together. Them pics is GORGEOUS.....sike LMAO sike na they is cute. @user 
1935043	positive	Rules of Attraction quite possibly one of the best romance novels i have ever read. i would definitely recommend it! 
1632934	neutral	Countdown For Microsoft Security : ~http  
3045043	neutral	Fresh on nike shoes: 469 Events 444 Videos Find an Expert 
684966	negative	#YouCantDateMe if u still sag ur pants super hard...dat shit is played the fuck out!!! #StopIt 
6832	positive	Thanks for the RT! @user 
887873	neutral	Ask Ring-tone | Free Download PDF: Home · Automotive · Acura · Alfa Romeo · Aston Martin · Audi · Bentley · BMW ... ~http  
2035319	neutral	Georgia has helmets popping off on almost every play!  Whats up with those new nike lids? Broncs are movin it in those Dogs! 
768193	neutral	More DioR honeY shotS Gucci MartiniS;) LVB styLe!  ~http  
2295114	neutral	Certify Dumps Microsoft 70-443 Exam Questions are updated regularly  ~http  
496783	positive	u cant be mad wen u listening to gucci lol dis my nigga 
205300	neutral	I'm gon need you to say somethin baby.... 
1692577	negative	Seriously; sometimes i juss wanna stick a teacher in the face. 
3039034	positive	I liked a @user video ~http  Gucci Mane - I Don't Love Her ft. Rocko & Webbie ( Official H 
2729556	neutral	Sweet! RT @user If you add the hastag #TeamAutism to your tweet for today; Samsung is donating $5 PER TWEET. #teamautism 
63658	positive	Taking the insoles out of my Nike Free 3.0s makes them so much better for playing in! 
1930814	neutral	What do you think of the number 19? 
742684	neutral	I Guess This No Joke Then 
2756082	neutral	The McDonalds Nintendo DSi [Ds]:                                             A few weeks ago; I showed you every N... ~http 
1663449	neutral	Tommy's-research into causes and prevention of miscarriage;premature birth and stillbirth please sponsor us 
920547	neutral	[App] Microsoft Windows XP Se7en Ultimate Royale SP3 (2011): Type: App LinkPlz.com ~http  LinkPlz.com 
609857	neutral	#workflow #imos #tipmegoodbitch 
2203278	neutral	Buy for nike shoes cheap at ~http  #ineedtostop #ripnickiminaj 
981169	neutral	Come to "Fitness Fiesta" Saturday; February 5 from 9:30 am to 12:00 pm. Fife Institute of Physical &  Recreational... ~http  
441942	positive	Al Davis is KING 
2752789	positive	Went for a walk this morning; then did 30 Day Shred! Sitting outside with the cats; cooling down. I love Fall! 
261303	positive	Early Christmas at the Nike store; thanks momma. #mommasboy 
