IDOfClassifiersUsed	nrOfClassifiersUsed	dev	test.Twitter2014	test.Twitter2014Sarcasm	test.Twitter2013	test.SMS2013	test.LiveJournal2014
1	1	0.3221938	0.285692614	0.515745008	0.307692642	0.312285324	0.508250349
2	1	0.2894696	0.228576768	0.31006865	0.266775418	0.229411404	0.24469331
3	1	0.5288125	0.550799102	0.382222222	0.556119891	0.499411546	0.564056882
4	1	0.6392528	0.650930737	0.487993139	0.653302949	0.615090092	0.689101858
5	1	0.6146679	0.627271193	0.442577031	0.602124187	0.56167913	0.639083684
6	1	0.483814693	0.5417	0.3487	0.4868	0.444	0.5871
7	1	0.497916577	0.4774	0.4316	0.5017	0.4641	0.5902
8	1	0.558879241	0.5351	0.4933	0.5615	0.5226	0.5653
9	1	0.56302639	0.5628	0.406	0.5467	0.5204	0.5461
10	1	0.436912818	0.44	0.5974	0.4115	0.4647	0.5657
11	1	0.474412281	0.4883	0.4525	0.4521	0.4164	0.5345
12	1	0.568577661	0.5835	0.3608	0.6217	0.5842	0.6574
"1,10"	2	NaN	NA	NA	NA	NA	NA
"1,11"	2	NaN	NA	NA	NA	NA	NA
"1,12"	2	0.544995	0.5834839	0.360766	0.6217449	0.5842462	0.6574126
"1,2"	2	NaN	NA	NA	NA	NA	NA
"1,3"	2	0.5255376	0.5507991	0.3822222	0.5561199	0.4994115	0.5640569
"1,4"	2	0.6392528	0.6509307	0.4879931	0.6533029	0.6150901	0.6891019
"1,5"	2	0.6132152	0.6272712	0.442577	0.6021242	0.5616791	0.6390837
"1,6"	2	0.4840059	0.5416642	0.3486842	0.4868471	0.4440273	0.5871361
"1,7"	2	NaN	NA	NA	NA	NA	NA
"1,8"	2	0.5592726	0.5351257	0.4933407	0.5615028	0.5225566	0.5652926
"1,9"	2	0.5654299	0.5627876	0.4060311	0.5467252	0.5203701	0.546061
"10,11"	2	0.2415871	NA	NA	NA	NA	NA
"10,12"	2	0.4977017	0.5577426	0.343577	0.5511063	0.5432146	0.6424782
"11,12"	2	0.5185046	0.5641419	0.2681818	0.550775	0.539207	0.5923785
"2,10"	2	NaN	NA	NA	NA	NA	NA
"2,11"	2	NaN	NA	NA	NA	NA	NA
"2,12"	2	0.5111322	0.4943786	0.3203212	0.5270337	0.4623748	0.5114299
"2,3"	2	0.5288125	0.5507991	0.3822222	0.5561199	0.4994115	0.5640569
"2,4"	2	0.6392528	0.6509307	0.4879931	0.6533029	0.6150901	0.6891019
"2,5"	2	0.6146679	0.6272712	0.442577	0.6021242	0.5616791	0.6390837
"2,6"	2	0.4855737	0.5416642	0.3486842	0.4868471	0.4440273	0.5871361
"2,7"	2	NaN	NA	NA	NA	NA	NA
"2,8"	2	0.5625683	0.5351257	0.4933407	0.5615028	0.5225566	0.5652926
"2,9"	2	0.5654299	0.5627876	0.4060311	0.5467252	0.5203701	0.546061
"3,10"	2	0.5243665	0.5507991	0.3822222	0.5561199	0.4994115	0.5640569
"3,11"	2	0.5167386	0.5400986	0.2534082	0.527265	0.4786477	0.5204023
"3,12"	2	0.5307749	0.5404856	0.3242894	0.5499249	0.4990662	0.5671105
"3,4"	2	0.6380179	0.6509307	0.4879931	0.6533029	0.6150901	0.6891019
"3,5"	2	0.6146679	0.6272712	0.442577	0.6021242	0.5616791	0.6390837
"3,6"	2	0.4816942	0.5553206	0.4391667	0.5281763	0.4621691	0.578719
"3,7"	2	0.5261532	0.5507991	0.3822222	0.5561199	0.4994115	0.5640569
"3,8"	2	0.5387835	0.5042861	0.4579469	0.5325939	0.4950736	0.5381852
"3,9"	2	0.5654299	0.5627876	0.4060311	0.5467252	0.5203701	0.546061
"4,10"	2	0.6324053	0.6401954	0.448366	0.6425248	0.61981	0.7050543
"4,11"	2	0.6404208	0.6556128	0.4679739	0.6546726	0.6200219	0.7019183
"4,12"	2	0.6392528	0.6509307	0.4879931	0.6533029	0.6150901	0.6891019
"4,5"	2	0.6110106	0.6155748	0.4387707	0.605161	0.6034255	0.669724
"4,6"	2	0.6300168	0.6360278	0.4267968	0.6435711	0.6032945	0.6791369
"4,7"	2	0.6392528	0.6509307	0.4879931	0.6533029	0.6150901	0.6891019
"4,8"	2	0.6306746	0.6542846	0.447205	0.6562567	0.6282752	0.6883144
"4,9"	2	0.6456119	0.6696317	0.503286	0.6719241	0.6233346	0.6988274
"5,10"	2	0.5999073	0.6272712	0.442577	0.6021242	0.5616791	0.6390837
"5,11"	2	0.6096007	0.6272712	0.442577	0.6021242	0.5616791	0.6390837
"5,12"	2	0.6112596	0.6272712	0.442577	0.6021242	0.5616791	0.6390837
"5,6"	2	0.6146679	0.6272712	0.442577	0.6021242	0.5616791	0.6390837
"5,7"	2	0.6146679	0.6272712	0.442577	0.6021242	0.5616791	0.6390837
"5,8"	2	0.5967493	0.6272712	0.442577	0.6021242	0.5616791	0.6390837
"5,9"	2	0.6316696	0.672158	0.4708995	0.6380047	0.5670487	0.6485507
"6,10"	2	0.4973227	0.5453072	0.4036803	0.4962592	0.4551634	0.5818364
"6,11"	2	0.4705914	0.518417	0.3053279	0.4540169	0.4320615	0.5486532
"6,12"	2	0.4986139	0.5718946	0.4021084	0.5560288	0.4995545	0.6190293
"6,7"	2	0.4597245	0.5156521	0.3362676	0.4607643	0.4418189	0.5645865
"6,8"	2	0.5597194	0.5522598	0.5340557	0.5800586	0.5618546	0.6183136
"6,9"	2	0.5654299	0.5627876	0.4060311	0.5467252	0.5203701	0.546061
"7,10"	2	NaN	NA	NA	NA	NA	NA
"7,11"	2	0.3597771	0.4770481	0.315047	0.4762859	0.4553507	0.5472662
"7,12"	2	0.5414088	0.5496675	0.2981998	0.5897548	0.5248238	0.6250709
"7,8"	2	0.5520319	0.5351257	0.4933407	0.5615028	0.5225566	0.5652926
"7,9"	2	0.5654299	0.5627876	0.4060311	0.5467252	0.5203701	0.546061
"8,10"	2	0.5603474	0.5351257	0.4933407	0.5615028	0.5225566	0.5652926
